id,hotel_id,url_id,language,popular_service,created_at
1,3ca1a55e-c818-432d-817b-77a9924c586a,0be5194c-0489-4065-a156-b1dc20755602,en,Breakfast,2026-03-26 22:24:53.964561+00
2,40ccbc88-add1-4521-92c6-ed2310a7fd3c,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,en,2 swimming pools,2026-03-26 22:27:46.786391+00
3,40ccbc88-add1-4521-92c6-ed2310a7fd3c,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,en,Free WiFi,2026-03-26 22:27:46.786394+00
4,40ccbc88-add1-4521-92c6-ed2310a7fd3c,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,en,Airport shuttle,2026-03-26 22:27:46.786395+00
5,40ccbc88-add1-4521-92c6-ed2310a7fd3c,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,en,Family rooms,2026-03-26 22:27:46.786395+00
6,40ccbc88-add1-4521-92c6-ed2310a7fd3c,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,en,8 restaurants,2026-03-26 22:27:46.786396+00
7,40ccbc88-add1-4521-92c6-ed2310a7fd3c,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,en,Tea/coffee maker in all rooms,2026-03-26 22:27:46.786396+00
8,40ccbc88-add1-4521-92c6-ed2310a7fd3c,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,en,Bar,2026-03-26 22:27:46.786397+00
9,40ccbc88-add1-4521-92c6-ed2310a7fd3c,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,en,Beachfront,2026-03-26 22:27:46.786397+00
10,40ccbc88-add1-4521-92c6-ed2310a7fd3c,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,en,Private beach area,2026-03-26 22:27:46.786397+00
11,40ccbc88-add1-4521-92c6-ed2310a7fd3c,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,en,Breakfast,2026-03-26 22:27:46.786398+00
12,09bf9ad7-d055-4ebd-8cf1-b5a96f3bd298,0be5194c-0489-4065-a156-b1dc20755602,es,Desayuno,2026-03-26 22:29:04.323469+00
13,37ef2508-6ab6-4118-a08d-953a4b1c4130,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,es,2 piscinas,2026-03-26 22:30:33.074149+00
14,37ef2508-6ab6-4118-a08d-953a4b1c4130,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,es,WiFi gratis,2026-03-26 22:30:33.074153+00
15,37ef2508-6ab6-4118-a08d-953a4b1c4130,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,es,Traslado aeropuerto,2026-03-26 22:30:33.074154+00
16,37ef2508-6ab6-4118-a08d-953a4b1c4130,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,es,Habitaciones familiares,2026-03-26 22:30:33.074155+00
17,37ef2508-6ab6-4118-a08d-953a4b1c4130,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,es,8 restaurantes,2026-03-26 22:30:33.074155+00
18,37ef2508-6ab6-4118-a08d-953a4b1c4130,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,es,Tetera/cafetera en todas las habitaciones,2026-03-26 22:30:33.074156+00
19,37ef2508-6ab6-4118-a08d-953a4b1c4130,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,es,Bar,2026-03-26 22:30:33.074157+00
20,37ef2508-6ab6-4118-a08d-953a4b1c4130,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,es,Situado frente a la playa,2026-03-26 22:30:33.074157+00
21,37ef2508-6ab6-4118-a08d-953a4b1c4130,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,es,Zona privada de playa,2026-03-26 22:30:33.074158+00
22,37ef2508-6ab6-4118-a08d-953a4b1c4130,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,es,Desayuno,2026-03-26 22:30:33.074158+00
23,d7410c69-ae5b-4b5d-8638-1ee615a5c804,0be5194c-0489-4065-a156-b1dc20755602,de,Frühstück,2026-03-26 22:32:00.633078+00
24,d7410c69-ae5b-4b5d-8638-1ee615a5c804,0be5194c-0489-4065-a156-b1dc20755602,de,1 Einrichtung anzeigen,2026-03-26 22:32:00.633081+00
25,9fcbef0b-1365-4bf4-9ae7-b9a3f20f1cc4,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,de,2 Pools,2026-03-26 22:33:18.078519+00
26,9fcbef0b-1365-4bf4-9ae7-b9a3f20f1cc4,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,de,WLAN inklusive,2026-03-26 22:33:18.078522+00
27,9fcbef0b-1365-4bf4-9ae7-b9a3f20f1cc4,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,de,Flughafenshuttle,2026-03-26 22:33:18.078523+00
28,9fcbef0b-1365-4bf4-9ae7-b9a3f20f1cc4,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,de,Familienzimmer,2026-03-26 22:33:18.078523+00
29,9fcbef0b-1365-4bf4-9ae7-b9a3f20f1cc4,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,de,8 Restaurants,2026-03-26 22:33:18.078524+00
30,9fcbef0b-1365-4bf4-9ae7-b9a3f20f1cc4,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,de,Kaffee- und Teezubehör in allen Zimmern,2026-03-26 22:33:18.078524+00
31,9fcbef0b-1365-4bf4-9ae7-b9a3f20f1cc4,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,de,Bar,2026-03-26 22:33:18.078525+00
32,9fcbef0b-1365-4bf4-9ae7-b9a3f20f1cc4,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,de,am Strand,2026-03-26 22:33:18.078526+00
33,9fcbef0b-1365-4bf4-9ae7-b9a3f20f1cc4,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,de,Privater Strand,2026-03-26 22:33:18.078526+00
34,9fcbef0b-1365-4bf4-9ae7-b9a3f20f1cc4,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,de,Frühstück,2026-03-26 22:33:18.078527+00
35,651205c9-ff18-4a56-bc76-883d41e582d4,0be5194c-0489-4065-a156-b1dc20755602,it,Colazione,2026-03-26 22:34:35.595595+00
36,651205c9-ff18-4a56-bc76-883d41e582d4,0be5194c-0489-4065-a156-b1dc20755602,it,Vedi 1 servizio,2026-03-26 22:34:35.595598+00
37,125e7b87-8e86-4534-a750-2cee401b61a8,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,it,2 piscine,2026-03-26 22:36:10.017435+00
38,125e7b87-8e86-4534-a750-2cee401b61a8,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,it,Connessione WiFi gratuita,2026-03-26 22:36:10.017438+00
39,125e7b87-8e86-4534-a750-2cee401b61a8,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,it,Navetta aeroportuale,2026-03-26 22:36:10.017439+00
40,125e7b87-8e86-4534-a750-2cee401b61a8,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,it,Disponibilità di camere familiari,2026-03-26 22:36:10.01744+00
41,125e7b87-8e86-4534-a750-2cee401b61a8,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,it,8 ristoranti,2026-03-26 22:36:10.01744+00
42,125e7b87-8e86-4534-a750-2cee401b61a8,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,it,bollitore tè / macchina caffè in tutte le camere,2026-03-26 22:36:10.017441+00
43,125e7b87-8e86-4534-a750-2cee401b61a8,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,it,Bar,2026-03-26 22:36:10.017442+00
44,125e7b87-8e86-4534-a750-2cee401b61a8,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,it,Fronte spiaggia,2026-03-26 22:36:10.017442+00
45,125e7b87-8e86-4534-a750-2cee401b61a8,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,it,Spiaggia privata,2026-03-26 22:36:10.017443+00
46,125e7b87-8e86-4534-a750-2cee401b61a8,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,it,Colazione,2026-03-26 22:36:10.017443+00
47,8c2ec755-a487-4b7d-88d3-8aead7debe0c,0be5194c-0489-4065-a156-b1dc20755602,fr,Petit-déjeuner,2026-03-26 22:37:27.278615+00
48,b12f9923-284e-4e43-93cb-a278205f3883,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,fr,2 piscines,2026-03-26 22:38:44.278299+00
49,b12f9923-284e-4e43-93cb-a278205f3883,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,fr,Connexion Wi-Fi gratuite,2026-03-26 22:38:44.278302+00
50,b12f9923-284e-4e43-93cb-a278205f3883,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,fr,Navette aéroport,2026-03-26 22:38:44.278303+00
51,b12f9923-284e-4e43-93cb-a278205f3883,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,fr,Chambres familiales,2026-03-26 22:38:44.278304+00
52,b12f9923-284e-4e43-93cb-a278205f3883,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,fr,8 restaurants,2026-03-26 22:38:44.278304+00
53,b12f9923-284e-4e43-93cb-a278205f3883,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,fr,Plateau/bouilloire dans tous les hébergements,2026-03-26 22:38:44.278305+00
54,b12f9923-284e-4e43-93cb-a278205f3883,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,fr,Bar,2026-03-26 22:38:44.278306+00
55,b12f9923-284e-4e43-93cb-a278205f3883,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,fr,En bord de plage,2026-03-26 22:38:44.278306+00
56,b12f9923-284e-4e43-93cb-a278205f3883,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,fr,Plage privée,2026-03-26 22:38:44.278307+00
57,b12f9923-284e-4e43-93cb-a278205f3883,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,fr,Petit-déjeuner,2026-03-26 22:38:44.278308+00
58,fafcca95-621b-4a4d-8498-1f72b8143f9e,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,en,Outdoor swimming pool,2026-03-26 22:41:36.044931+00
59,fafcca95-621b-4a4d-8498-1f72b8143f9e,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,en,Airport shuttle (free),2026-03-26 22:41:36.044934+00
60,fafcca95-621b-4a4d-8498-1f72b8143f9e,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,en,Non-smoking rooms,2026-03-26 22:41:36.044935+00
61,fafcca95-621b-4a4d-8498-1f72b8143f9e,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,en,Spa and wellness centre,2026-03-26 22:41:36.044935+00
62,fafcca95-621b-4a4d-8498-1f72b8143f9e,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,en,Fitness centre,2026-03-26 22:41:36.044936+00
63,fafcca95-621b-4a4d-8498-1f72b8143f9e,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,en,Beachfront,2026-03-26 22:41:36.044937+00
64,fafcca95-621b-4a4d-8498-1f72b8143f9e,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,en,Free WiFi,2026-03-26 22:41:36.044937+00
65,fafcca95-621b-4a4d-8498-1f72b8143f9e,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,en,Bar,2026-03-26 22:41:36.044938+00
