id,hotel_id,url_id,language,reviewer_name,score,title,positive_comment,negative_comment,reviewer_country,booking_id,created_at
1,1a8f6c8c-e51d-415e-9851-0377494202d5,3beea5e6-3c6b-4b66-bfdb-f2b2ff4d4dd4,en,Ervin,10,,Totaly worth the money.. its really calm and chill place..ill be back when visiting Graz,,hu,5277006800,2026-05-04 01:13:42.012545+01
2,1a8f6c8c-e51d-415e-9851-0377494202d5,3beea5e6-3c6b-4b66-bfdb-f2b2ff4d4dd4,en,Bela,9,A perfect choice for a one-night stopover during a journey.,"The check-in was easy and quick. The room was modern, fairly large and clean. The breakfast was plentiful, buffet-style. There was a free parking space for the car in the yard.  The Wi-Fi was stable, fast, and easy to use.","There was no air conditioning in the room, but there was a fan instead. The window did not open directly onto the main road, but the noise could still be heard through the window that was kept open because of the heat.",hu,5202578394,2026-05-04 01:13:42.012545+01
3,1a8f6c8c-e51d-415e-9851-0377494202d5,3beea5e6-3c6b-4b66-bfdb-f2b2ff4d4dd4,en,Eric,8,Ideal for a basic nights rest after long drive.,It is the second time that we've chosen a hotel that is annex to an asian restaurant to our full satisfaction. We experienced basic lodgings but exactly what we need for a nights rest after driving for about 1000km including a basic but full breakfast.,,be,5185319620,2026-05-04 01:13:42.012545+01
4,1a8f6c8c-e51d-415e-9851-0377494202d5,3beea5e6-3c6b-4b66-bfdb-f2b2ff4d4dd4,en,Altuntas,8,Over average,"Very close to autoway so it was very good for us to give a break. 

Personnel are very helpful and cozy 

Room is very clean",There is not a refrigator and air condition in the room,tr,5183406445,2026-05-04 01:13:42.012545+01
5,1a8f6c8c-e51d-415e-9851-0377494202d5,3beea5e6-3c6b-4b66-bfdb-f2b2ff4d4dd4,en,Viktorija,10,,"Clean,  all  bathroom facilities , tasty dinner and good breakfast","On booking we saw that all taxes are including in price for night, also breakfast for free, but on registration desc we should pay City taxes 5 eur for 2 persons for 1 night, it's not a problem,but information on booking is wrong, that's why we are angry. Parking free it's also good",lv,5179024386,2026-05-04 01:13:42.012545+01
6,1a8f6c8c-e51d-415e-9851-0377494202d5,3beea5e6-3c6b-4b66-bfdb-f2b2ff4d4dd4,en,Csaba,9,Overall it was good.,"All was fine, meets the expectation for the price and the amount I've paid. Of course it is not a Hilton, but the price also reflects it. Good value for your money.","The breakfast could be a bit better, there are not much to choose from, but still fine.",hu,5152535024,2026-05-04 01:13:42.012545+01
7,1a8f6c8c-e51d-415e-9851-0377494202d5,3beea5e6-3c6b-4b66-bfdb-f2b2ff4d4dd4,en,Magdalena,9,Perfect for a cheap hotel with breakfast! Would totally recommend!,"Nice bright room, comfy bed, nice shower and good Chinese buffet restaurant downstairs",The room was a bit hot,at,5152024155,2026-05-04 01:13:42.012545+01
8,1a8f6c8c-e51d-415e-9851-0377494202d5,3beea5e6-3c6b-4b66-bfdb-f2b2ff4d4dd4,en,Vladimir,10,Excellent choice,"Very good
Stuff is very pleasure and good
Breakfast is fresh and nice.",I expected hairdrier integrated in bathrom.,rs,5113625234,2026-05-04 01:13:42.012545+01
9,1a8f6c8c-e51d-415e-9851-0377494202d5,3beea5e6-3c6b-4b66-bfdb-f2b2ff4d4dd4,en,Luděk,8,,"What I would really place as an advantage at first is that there is possibility for late check-in if you let the office know soon enough and second the location of the place is on the crossing of the two main highways, so you don't have to drive any far from the Exit in order to get quickly on the road the next day. Well recommend for short stay.",,cz,5048950241,2026-05-04 01:13:42.012545+01
10,1a8f6c8c-e51d-415e-9851-0377494202d5,3beea5e6-3c6b-4b66-bfdb-f2b2ff4d4dd4,en,Uscuplic,8,"The hotel corresponded to the description on the website, it delivered what we expected.",The room was spacious and clean. The bed was used a little more so it was wobbly.,"When we paid for the room online, we also paid a tax per person for 2.5 EUR per person. We were also asked to pay the same fee again at the hotel.",ba,5028848684,2026-05-04 01:13:42.012545+01
